intent_id,intent_name,intent_type,priority,condition,action,target_components,enforcement_level,description
INT-001,Safety First,Safety Override,1,EmergencyStopSensor.Activated = true OR TamperDetectionActivated = true,Immediate power disconnection and station lockout,PowerContactor;EVSE,mandatory,Safety events override all other intents and require immediate response
INT-002,Grid Stability,Load Management,2,GridOperator.LoadSignal = reduce OR ElectricalFeed.Frequency < 49.5Hz,Reduce charging power by 50% within 60 seconds,SmartChargingCtrlr;EVSE,mandatory,Comply with grid operator signals to maintain grid stability
INT-003,Thermal Protection,Equipment Protection,3,TemperatureSensor.Temperature > 50C,Reduce charging power proportionally; shutdown if > 60C,AirCoolingSystem;LiquidCoolingSystem;PowerContactor,mandatory,Protect equipment from thermal damage
INT-004,Fair Access,Resource Allocation,4,Connector.OccupiedTime > 4 hours AND Queue.WaitingCount > 0,Send notification to user; apply idle fee after 15 minutes,DisplayMessageCtrlr;TariffCostCtrlr,recommended,Ensure fair access to charging infrastructure during peak times
INT-005,Peak Shaving,Cost Optimization,5,TimeOfDay in PeakHours AND Site.TotalLoad > 80%,Limit new sessions to 50% power until load decreases,SmartChargingCtrlr,optional,Reduce electricity costs during peak tariff periods
INT-006,Renewable Priority,Sustainability,6,LocalEnergyStorage.SoC > 80% OR SolarGeneration.Available = true,Prioritize local renewable energy for charging,ElectricalFeed;LocalEnergyStorage,optional,Maximize use of renewable energy when available
INT-007,Maintenance Window,Operations,7,ScheduledMaintenance.Active = true,Prevent new sessions; allow current sessions to complete,EVSE;Connector,mandatory,Enable planned maintenance without disrupting active users
INT-008,Fault Isolation,Reliability,3,Connector.FaultCount > 3 in 24 hours,Disable connector and alert maintenance,Connector;MonitoringCtrlr,mandatory,Isolate repeatedly failing equipment to prevent cascading issues
INT-009,Payment Fallback,Business Continuity,4,PaymentCtrlr.Status = offline,Enable free charging with manual billing reconciliation,PaymentCtrlr;AuthCtrlr,recommended,Maintain service availability during payment system outages
INT-010,Security Lockdown,Security,1,SecurityCtrlr.ThreatLevel = high OR InvalidMessages.Count > 10,Reject all new connections; alert security team,SecurityCtrlr;OCPPCommCtrlr,mandatory,Respond to detected security threats
INT-011,Capacity Reservation,Service Level,5,Reservation.Active = true AND CurrentTime within Reservation.Window,Reserve connector for authorized user; reject other requests,ReservationCtrlr;Connector,mandatory,Honor confirmed reservations
INT-012,Data Privacy,Compliance,2,CustomerData.Request = delete,Purge customer data within 72 hours per GDPR requirements,DeviceDataCtrlr;AuthCacheCtrlr,mandatory,Comply with data protection regulations
INT-013,Firmware Security,Maintenance,3,FirmwareUpdate.Available = true AND SecurityPatch = true,Schedule update within 72 hours during low-usage period,Controller,mandatory,Apply security patches promptly
INT-014,Load Balancing,Optimization,5,Site.PhaseImbalance > 15%,Redistribute loads across phases using AcPhaseSelector,AcPhaseSelector;SmartChargingCtrlr,recommended,Minimize phase imbalance to improve power quality
INT-015,Emergency Services,Priority Access,1,Vehicle.Type = emergency AND EmergencyMode = active,Grant immediate access; preempt non-critical sessions if needed,AuthCtrlr;SmartChargingCtrlr,mandatory,Prioritize emergency vehicle charging
