failure_id,failure_mode,component,symptom,root_cause,detection_method,severity,mttr_hours,repair_action,spare_parts_required,preventive_maintenance
FM-001,Thermal Sensor Drift,Temperature Sensor,Intermittent thermal shutdowns every 60-90 minutes; scanner enters safe mode,Sensor calibration drift over time; aging thermistor; environmental contamination,Telemetry pattern analysis; syngo.MR.HostInfra.Telemetry events 50410/50411; thermal threshold alerts,critical,4,Recalibrate thermal sensor; replace thermistor if out of tolerance; verify cooling system airflow,Temperature sensor module; thermal paste,Quarterly calibration check; annual sensor replacement evaluation
FM-002,Gradient Coil Degradation,Gradient Coil Assembly,Image quality complaints; 2-3% increase in scan duration; subtle artifacts in diffusion-weighted sequences,Coil winding insulation breakdown; resistive heating from aging; micro-fractures in cooling channels,Scan timing analysis; image quality metrics trending; manufacturer advisory cross-reference,high,48,Schedule manufacturer inspection; plan proactive coil replacement; monitor closely until replacement,Gradient coil assembly (long lead time),Annual resistance measurement; quarterly performance benchmarking
FM-003,Helium Level Drop,Cryostat/Cold Head,Helium level alerts; quench risk warning; gradual performance degradation,Cold head compressor wear; minor cryostat leak; ambient temperature exceedance,Helium level sensor trending; compressor cycle monitoring; syngo cryogen alerts,critical,8,Emergency helium refill; cold head inspection; leak detection with sniffer,Liquid helium; cold head compressor seals,Monthly helium level check; quarterly compressor inspection
FM-004,RF Amplifier Intermittent,RF Power Amplifier,Inconsistent signal-to-noise ratio; random scan failures; image brightness variations,Amplifier tube aging; power supply capacitor degradation; thermal cycling fatigue,RF power monitoring; scan failure rate tracking; calibration drift detection,high,6,Replace RF amplifier tube; recalibrate RF chain; verify power supply stability,RF amplifier tube; power supply capacitors,Bi-annual tube inspection; annual power supply capacitor check
FM-005,Software Service Crash,syngo Application (LCM),Application freeze; scanner unresponsive; automatic service restart; session data loss,Memory leak; unhandled exception; disk space exhaustion; database corruption,syngo_Application restart events; Windows Application event log; LCM service lifecycle events,medium,1,Restart syngo services; clear temp files; verify disk space; apply software patches,None - software only,Weekly disk space monitoring; monthly log cleanup; patch management schedule
FM-006,Patient Table Positioning Error,Patient Table System,Table position inaccurate; scan region misalignment; repeated positioning attempts,Table encoder failure; motor controller drift; mechanical obstruction in rail,Table position sensor errors; motor current anomalies; repeated positioning events in telemetry,medium,3,Recalibrate table encoders; clean and lubricate rail system; replace motor controller if faulty,Table encoder; motor controller board,Quarterly table calibration; monthly rail cleaning
FM-007,Network/DICOM Transfer Failure,Network Infrastructure,Images not appearing in PACS; transfer timeouts; study routing failures,Network switch congestion; DICOM association rejection; DNS resolution failure; firewall rule change,DICOM transfer error logs; network timeout events; PACS connectivity heartbeat failures,medium,2,Verify network connectivity; check DICOM AE titles; review firewall rules; restart DICOM services,Network cable; switch port module,Weekly DICOM echo test; monthly network infrastructure review
FM-008,Coil Connection Fault,Receive Coil,Coil not recognized; signal dropout on specific channels; partial FOV coverage,Coil connector pin damage; cable fatigue from repeated flexion; coil element failure,Coil detection events; channel signal level monitoring; repeated coil reconnection attempts,medium,1,Clean connector pins; test cable continuity; replace coil if element failed,Receive coil; connector assembly,Pre-scan coil verification; quarterly connector inspection
FM-009,Power Supply Fluctuation,Main Power Distribution,Intermittent system resets; gradient amplifier faults; subsystem brown-out events,Facility power quality issues; UPS battery degradation; PDU breaker trips,Power monitoring logs; UPS event alerts; gradient amplifier fault codes,high,4,Check facility power quality; test UPS battery; verify PDU connections; install power conditioner,UPS batteries; power conditioner,Monthly UPS battery test; quarterly power quality measurement
FM-010,Shimming Failure,Shim System,B0 inhomogeneity; fat-water swap artifacts; geometric distortion in large FOV,Shim coil current drift; room temperature variation affecting passive shims; ferromagnetic contamination,Auto-shim failure events; B0 map quality metrics; frequency drift monitoring,medium,2,Run advanced shimming protocol; check room temperature stability; scan for ferromagnetic sources,Shim iron pieces (passive); shim amplifier (active),Monthly shim verification; quarterly room environment check
