event_id,timestamp,station_id,connector_id,event_type,severity,error_code,description,duration_minutes,resolution,related_sla,technician_notes
EVT-001,2026-01-15T08:23:45,KOUMASSI,CX002,GroundFault,critical,F001,Ground fault detected on connector CX002 during active charging session,45,Cable replacement required - insulation damage found,SLA-008;SLA-015,Water ingress through damaged cable sheath - replaced with new 7m cable
EVT-002,2026-01-15T10:15:32,ANGRE,CX004,ThermalWarning,high,F003,Internal temperature reached 52C - power derated to 50%,20,Temperature normalized after power reduction,SLA-007,Blocked ventilation louvers - cleared debris accumulation
EVT-003,2026-01-15T14:42:18,COCODY,CX001,CommunicationLoss,medium,F004,Lost OCPP connection to CSMS for 8 minutes,8,Automatic reconnection successful,SLA-005,Intermittent 4G signal - added external antenna
EVT-004,2026-01-16T06:55:23,PLATEAU,CX003,AuthorizationTimeout,low,F005,RFID authentication exceeded 60 second timeout,2,Session started on retry,SLA-003,Peak morning congestion on auth server
EVT-005,2026-01-16T09:30:45,YOPOUGON,CX001,OverCurrent,high,F002,MCB tripped due to current exceeding 35A threshold,15,MCB reset after load verification,SLA-004,Customer vehicle drew excessive inrush current
EVT-006,2026-01-16T12:18:56,KOUMASSI,CX001,MeteringDiscrepancy,medium,F006,3.2% deviation between fiscal and control meters detected,0,Flagged for calibration review,SLA-002,Meter recalibration scheduled for next maintenance window
EVT-007,2026-01-16T16:45:32,MARCORY,CX002,ConnectorLockFailure,medium,F007,Lock mechanism failed to engage - session continued with warning,0,Lock mechanism cleaned and tested,SLA-004;SLA-015,Dust accumulation in lock solenoid - cleaned and lubricated
EVT-008,2026-01-17T07:22:14,ANGRE,CX002,EmergencyStop,critical,F010,Emergency stop activated by station user,120,Safety inspection completed - no fault found,SLA-009,User accidentally pressed E-stop - training materials updated
EVT-009,2026-01-17T11:45:28,TREICHVILLE,CX003,FirmwareUpdateFailed,low,F011,OTA firmware update failed verification,5,Update rescheduled successfully,SLA-010,Network interruption during download - retry successful
EVT-010,2026-01-17T15:33:42,ADJAME,CX001,LoadImbalance,medium,F012,Phase imbalance exceeded 18% across site,30,Load redistributed across phases,SLA-006;SLA-012,Multiple vehicles charging on same phase - rebalanced
EVT-011,2026-01-18T08:12:55,ABOBO,CX002,VentilationFailure,medium,F013,Cooling fan stopped - thermal management compromised,60,Fan replaced,SLA-007,Fan motor bearing failure - replaced under warranty
EVT-012,2026-01-18T13:28:34,KOUMASSI,CX003,CableBreakaway,high,F014,Vehicle drive-away detected with cable connected,180,Cable and connector replaced,SLA-015,Cable retention lock failed - both lock and cable replaced
EVT-013,2026-01-18T17:45:21,BINGERVILLE,CX001,TamperDetection,critical,F015,Enclosure tamper sensor triggered,240,Security inspection - false alarm from vibration,SLA-001,Heavy truck passing caused vibration - sensor sensitivity adjusted
EVT-014,2026-01-19T09:15:43,GRAND_BASSAM,CX001,VoltageFluctuation,medium,F016,Input voltage dropped to 195V during charging,10,Charging continued at reduced power,SLA-006,Grid voltage sag during peak demand - utility notified
EVT-015,2026-01-19T12:38:27,PLATEAU,CX002,SessionInterruption,low,F017,Charging session interrupted by user after 15 minutes,0,Normal user cancellation - partial billing applied,SLA-011,User needed to leave early - no fault
EVT-016,2026-01-19T16:22:18,COCODY,CX002,TokenReaderFailure,medium,F018,RFID reader not responding to cards,45,Reader module replaced,SLA-003;SLA-013,Reader IC failure - replaced with new module
EVT-017,2026-01-20T07:45:33,YOPOUGON,CX002,IsolationTestFailure,critical,F019,Pre-charge isolation test failed - session blocked,90,Cable insulation repair,SLA-008;SLA-015,Minor insulation damage found at connector end - repaired
EVT-018,2026-01-20T10:55:42,ANGRE,CX001,ClockSyncFailure,low,F020,Time drift exceeded 45 seconds,0,NTP sync restored,SLA-002,NTP server temporarily unreachable - backup server configured
EVT-019,2026-01-20T14:28:15,MARCORY,CX001,PaymentTerminalError,medium,F009,Card payment declined - terminal communication error,5,Terminal reset resolved issue,SLA-013,Payment network timeout - retry successful
EVT-020,2026-01-21T08:35:22,TREICHVILLE,CX001,DisplayMalfunction,low,F008,Status LED showing incorrect state,0,LED module scheduled for replacement,SLA-014,LED driver circuit degraded - replacement ordered
EVT-021,2026-01-21T11:42:38,KOUMASSI,CX001,ThermalRunaway,critical,F003,Temperature reached 62C - emergency shutdown initiated,180,Cooling system overhaul required,SLA-007;SLA-009,Liquid cooling pump failure - pump and coolant replaced
EVT-022,2026-01-21T15:18:55,ADJAME,CX002,GroundFault,critical,F001,RCD trip during vehicle connection,30,Connector inspection and cleaning,SLA-008,Moisture in connector pins - dried and sealed
EVT-023,2026-01-21T18:45:12,ABOBO,CX001,CommunicationLoss,medium,F004,Extended network outage - 25 minutes offline,25,4G module replaced,SLA-005,SIM card degradation - replaced with new SIM
EVT-024,2026-01-21T21:33:28,YOPOUGON,CX003,OverCurrent,high,F002,Sustained overcurrent condition - contactor trip,20,Contactor inspection - minor contact wear,SLA-004,High inrush current from fleet vehicle - current limiting adjusted
EVT-025,2026-01-21T23:55:44,PLATEAU,CX001,NightModeActivation,low,INFO,Station entered reduced power night mode,0,Normal scheduled operation,SLA-012,Grid load management - power limited to 50% per utility agreement
