resolution_id,fault_scenario,primary_domain,secondary_domains,telekom_assessment,siemens_diagnosis,illigo_findings,integrated_resolution,sla_impact,risk_level
CDR-001,Ground fault causing billing discrepancy,Electrical Safety,Metering;Operations,SLA-008 and SLA-002 potentially violated - requires safety-first approach then billing reconciliation,Insulation failure in charging cable - VS-009 RCD protection triggered correctly - cable replacement required per FM-001,Event log shows fault occurred during active session - 15.2 kWh delivered before fault - partial billing applied,Replace cable immediately; reconcile billing for interrupted session; verify no recurrence over 72 hours,SLA-008 violated (safety); SLA-002 at risk (billing accuracy),critical
CDR-002,Thermal event during peak load period,Thermal Management,Grid Compliance;Operations,SLA-007 primary concern; SLA-012 load management may need activation; coordinate with grid operator,Temperature exceeded VS-015 limit of 55C - FM-003 thermal shutdown protocol activated - check VS-013 ambient conditions,Station showed 98% utilization at time of event - multiple concurrent high-power sessions - load balancing recommended,Reduce simultaneous session limit; verify cooling system function; consider scheduled power derating during peak ambient,SLA-007 violated (thermal); SLA-012 compliance maintained via derating,high
CDR-003,Communication loss during firmware update,Network;Maintenance,Operations,SLA-005 communication violation; SLA-010 firmware currency at risk; potential for extended downtime,Network module FM-004 failure coincided with update - VS-039 OTA update requires stable connection - rollback VS-040 may be needed,Station offline for 45 minutes during update window - 8 sessions impacted - local operation maintained for 3 sessions,Implement pre-update connectivity verification; stage updates during low-traffic periods; ensure rollback capability verified,SLA-005 violated (communication); SLA-010 partially met (update pending),medium
CDR-004,Payment system failure at high-traffic station,Financial;Operations,User Experience,SLA-013 payment processing violated; SLA-003 authorization affected; business continuity protocol needed,Payment terminal FM-019 shows communication timeout - VS-025 RFID still functional for pre-authorized users,Station showed 45 payment failures over 2 hours - 156 sessions still completed via app/RFID - revenue impact CFA 234,000,Enable backup payment methods; escalate to payment provider; offer manual reconciliation for affected customers,SLA-013 violated (payment); SLA-003 partially maintained via backup auth,medium
CDR-005,Cascade failure across multiple stations,Grid Compliance;Safety,Operations;Metering,Critical multi-SLA event - SLA-001 availability; SLA-006 power quality; SLA-012 grid compliance all at risk,Grid voltage sag caused VS-003 undervoltage at 3 stations - FM-016 phase imbalance propagated - protective trips at VS-012 MCBs,5 stations affected simultaneously - 89 sessions interrupted - total energy delivery dropped 67% for 30 minutes,Coordinate with utility on grid stability; implement staggered restart; verify no equipment damage before resuming full power,SLA-001 violated (availability); SLA-006 violated (power quality); SLA-012 stressed,critical
CDR-006,Connector damage with customer injury risk,Safety;Operations,Legal;Metering,SLA-015 cable management critical; SLA-008 ground fault protection must be verified; potential liability,Cable breakaway FM-014 detected - VS-021 connector Type 2 shows pin damage - FM-011 cable damage confirmed - immediate replacement,Customer vehicle departed with cable - connector pulled from vehicle side - session data shows 42 kWh delivered,Isolate connector immediately; document incident; replace cable and connector; review retention lock operation,SLA-015 violated (cable safety); SLA-008 protection worked correctly,critical
CDR-007,Metering calibration drift affecting billing,Metering;Financial,Compliance,SLA-002 billing accuracy violated; potential regulatory and customer trust impact; audit required,FM-008 metering drift detected - VS-035 Class B accuracy no longer within MID tolerance - recalibration needed,Analysis of 2,340 sessions shows average 2.1% overbilling - estimated customer impact CFA 156,000 over 30 days,Initiate meter recalibration; calculate customer refunds; implement monthly calibration verification,SLA-002 violated (billing accuracy),high
CDR-008,Security event with potential data breach,Security;Compliance,Operations,SLA-001 availability at risk during lockdown; data privacy compliance per INT-012 must be verified,Security controller FM-010 detected anomalous commands - VS-017 OCPP connection integrity questionable - firmware integrity verified,23 suspicious authorization attempts logged over 4 hours - no successful breaches - affected tokens blacklisted,Implement security lockdown per INT-010; audit all access logs; verify no data exfiltration; update security certificates,SLA-001 impacted (lockdown); Security compliance maintained,critical
CDR-009,Extended maintenance causing availability issues,Operations;Maintenance,Grid Compliance,SLA-001 availability threshold at risk; INT-007 maintenance window policy applies; customer communication needed,Scheduled maintenance FM-010 control board replacement extended due to configuration issues - VS-040 firmware restore delayed,Station offline for 8 hours vs planned 4 hours - 67 sessions lost - alternative station 2km away at 85% capacity,Improve maintenance time estimation; pre-stage configuration backups; communicate alternative options to customers,SLA-001 at risk (availability threshold),medium
CDR-010,Load balancing failure during grid emergency,Grid Compliance;Safety,Operations,SLA-012 grid compliance critical; INT-002 grid stability policy must be enforced; coordinate with operator,SmartChargingCtrlr VS-007 failed to respond to grid signal - FM-016 phase imbalance resulted - manual intervention required,Grid operator signal received at 14:23 - station continued at full power for 12 minutes - regulatory inquiry expected,Investigate signal processing failure; implement redundant grid signal monitoring; prepare regulatory response,SLA-012 violated (grid compliance),high
